,country,population,gdp_per_capita,doses,pc_1_dose,pc_2_doses,world_region
0,China,1440297825,10004.0,2129833000.0,,69.3,Asia
1,India,1382345085,2116.0,730337116.0,40.3,12.4,Asia
2,United States,331341050,65134.0,378569717.0,62.9,53.6,Americas
3,Indonesia,274021604,4136.0,111570821.0,26.3,15.1,Asia
4,Pakistan,221612785,1187.0,66456245.0,24.5,10.4,Asia
5,Brazil,212821986,8755.0,205866758.0,66.9,33.2,Americas
6,Nigeria,206984347,2361.0,5176869.0,1.8,0.8,Africa
7,Bangladesh,164972348,1846.0,32751434.0,12.1,7.6,Asia
8,Russia,145945524,11606.0,85108008.0,30.7,26.7,Europe
9,Mexico,129166028,9849.0,89500945.0,46.7,28.9,Americas
10,Japan,126407422,40063.0,141432726.0,62.1,50.0,Asia
11,Ethiopia,115434444,828.0,2654956.0,2.7,,Africa
12,Philippines,109830324,3324.0,37728114.0,20.5,15.0,Asia
13,Egypt,102659126,3161.0,10769834.0,7.1,3.7,Africa
14,Vietnam,97490013,2715.0,23577917.0,20.5,3.9,Asia
15,DR Congo,90003954,545.0,111142.0,0.1,0.1,Africa
16,Turkey,84495243,9127.0,101081488.0,61.6,48.1,Asia
17,Iran,84176929,7282.0,29152527.0,23.4,11.6,Asia
18,Germany,83830972,46232.0,103814560.0,66.4,61.9,Europe
19,Thailand,69830779,7785.0,38873359.0,37.8,16.2,Asia
20,United Kingdom,67948282,41855.0,92175948.0,72.4,65.6,Europe
21,France,65298930,40319.0,90583383.0,76.1,71.3,Europe
22,Italy,60446035,33090.0,80413885.0,72.2,65.6,Europe
23,Tanzania,60012400,1084.0,310103.0,,,Africa
24,South Africa,59436725,6001.0,14367151.0,17.6,11.7,Africa
25,Myanmar,54473253,1421.0,6253687.0,8.4,3.4,Asia
26,Kenya,53968739,1817.0,2934285.0,4.4,1.7,Africa
27,South Korea,51276977,32143.0,51555985.0,62.2,37.5,Asia
28,Colombia,50976248,6432.0,36657856.0,48.4,29.9,Americas
29,Spain,46757980,29816.0,68205694.0,79.9,75.4,Europe
30,Uganda,45974931,737.0,1476526.0,2.6,0.6,Africa
31,Argentina,45267449,10041.0,46402282.0,63.7,39.5,Americas
32,Algeria,43984569,3976.0,8000000.0,11.5,6.9,Africa
33,Sudan,44019263,815.0,1129054.0,1.5,0.6,Africa
34,Ukraine,43686577,3496.0,15026398.0,24.9,11.1,Europe
35,Iraq,40372771,5730.0,3754174.0,2.1,1.3,Asia
36,Afghanistan,39074280,470.0,1979652.0,2.1,1.2,Asia
37,Poland,37839255,15727.0,36643392.0,51.3,50.1,Europe
38,Canada,37799407,46550.0,54228989.0,74.7,68.7,Americas
39,Morocco,36985624,3282.0,36003650.0,55.5,45.7,Africa
40,Saudi Arabia,34905942,23140.0,39119246.0,66.6,48.2,Asia
41,Uzbekistan,33551824,1756.0,15978140.0,29.4,8.7,Asia
42,Peru,33050211,6978.0,20662297.0,35.5,26.3,Americas
43,Angola,33032075,2671.0,2086325.0,3.9,3.1,Africa
44,Malaysia,32436963,11414.0,38001646.0,64.7,51.2,Asia
45,Mozambique,31398811,504.0,2297842.0,5.3,2.1,Africa
46,Ghana,31181428,2203.0,1271393.0,2.9,1.3,Africa
47,Yemen,29935468,855.0,311483.0,0.9,0.1,Asia
48,Nepal,29225196,1074.0,10832033.0,20.1,17.9,Asia
49,Venezuela,28421581,4733.0,9342817.0,21.6,12.0,Americas
50,Madagascar,27808395,523.0,283091.0,0.8,0.3,Africa
51,Cameroon,26655083,1534.0,435676.0,1.4,0.3,Africa
52,Australia,25550683,54763.0,22170011.0,53.2,32.4,Oceania
53,Niger,24346468,555.0,491738.0,1.7,0.4,Africa
